Feature,Importance
cat__diag_1_401,0.0006537173570054538
cat__diag_3_998,0.0006513713656048929
cat__diag_3_788,0.0006491711080804565
cat__diag_1_482,0.0006447029232305694
cat__age_[10-20),0.0006436820549294811
cat__diag_3_294,0.0006434777877906019
cat__diag_3_593,0.0006427341003546585
cat__diag_1_250.12,0.0006416306447682398
cat__diag_1_824,0.0006397039623531359
cat__diag_3_402,0.0006368551903273795
cat__diag_3_571,0.0006311461454254614
cat__diag_2_574,0.0006201317793523629
cat__diag_2_272,0.000618805870536346
cat__diag_2_789,0.0006174283552576412
cat__diag_1_250.1,0.0006163442833051136
cat__diag_2_530,0.0006136221776656752
cat__diag_1_571,0.0006117139973620299
cat__diag_2_202,0.0006074791309520525
cat__diag_3_V15,0.0005986957046626063
cat__diag_2_250.03,0.0005982532730541167
cat__diag_3_458,0.0005975058913224018
cat__diag_3_789,0.0005949011404917536
cat__diag_1_592,0.0005919527924898738
cat__diag_3_396,0.0005903037100849496
cat__diag_3_995,0.000583783477975423
cat__diag_3_560,0.0005831900504148751
cat__diag_1_575,0.0005819623025848095
cat__diag_2_453,0.00058159731840009
cat__diag_3_413,0.0005786677294371545
cat__diag_1_590,0.0005783625113221697
cat__diag_3_453,0.0005783370856975335
cat__diag_1_426,0.000567437666920529
cat__diag_1_466,0.0005663238830085121
cat__diag_3_426,0.0005571062565857092
cat__diag_3_V12,0.0005555046556825001
cat__diag_3_263,0.0005534051762666407
cat__diag_3_250.41,0.0005502978940869647
cat__diag_1_572,0.0005434620439392707
cat__diag_3_V42,0.0005407499640534045
cat__diag_1_250.4,0.0005395845833946605
cat__diag_1_411,0.0005365153465989458
cat__glimepiride_Up,0.0005326360673508126
cat__diag_1_424,0.0005308607790192361
cat__diag_2_404,0.0005258090082806215
cat__diag_3_578,0.0005246726075156794
cat__diag_2_70,0.0005209652011636158
cat__diag_3_8,0.0005196855391101231
cat__diag_1_153,0.0005182810657384628
cat__diag_2_250.8,0.0005181521073721954
cat__diag_2_790,0.0005115976127397524
cat__diag_2_V42,0.0005107708351745454
cat__diag_1_569,0.0005097643954460238
cat__diag_2_426,0.0005056816462091678
cat__diag_3_997,0.0005033852555691082
cat__diag_1_531,0.0005020529184096987
cat__diag_2_536,0.0005004688025358709
cat__diag_3_535,0.0005001368533065823
cat__diag_3_70,0.0004974695831122952
cat__diag_1_730,0.0004940974121266294
cat__diag_3_331,0.0004934702729540699
cat__diag_3_440,0.0004919245713908429
cat__diag_2_434,0.0004917420288555043
cat__diag_3_296,0.0004894402695908187
cat__diag_2_438,0.0004875501283273536
cat__diag_3_784,0.00048350142477904685
cat__diag_3_733,0.0004798722622616285
cat__diag_1_198,0.00047547736244470974
cat__diag_2_8,0.0004696129636420475
cat__diag_2_303,0.0004695134349245861
cat__diag_1_331,0.00046871270053266067
cat__diag_1_443,0.00046010927134193985
cat__diag_3_112,0.0004554016668062915
cat__diag_1_812,0.0004514183806233148
cat__diag_3_562,0.0004502530203133574
cat__diag_3_311,0.0004493990684300796
cat__diag_3_162,0.0004480624936111435
cat__diag_3_250.42,0.0004464073552783772
cat__diag_3_342,0.0004432443361016243
cat__diag_2_730,0.0004424350425847207
cat__diag_1_805,0.00044239417071972176
cat__diag_2_784,0.00044042463939590403
cat__diag_2_591,0.00043984048104274865
cat__diag_1_790,0.00043811102082143397
cat__diag_1_278,0.00043621115775462684
cat__diag_2_492,0.0004349279866099455
cat__diag_2_250.7,0.00043330046026226023
cat__diag_3_715,0.00043250837438419304
cat__diag_3_304,0.0004321033066024692
cat__diag_2_787,0.00042977118071370514
cat__diag_2_250.82,0.0004297695047462674
cat__diag_2_112,0.00042705764368936396
cat__diag_1_552,0.00042628214654617786
cat__diag_2_733,0.0004248850587348634
cat__diag_2_648,0.00042451220557848603
cat__diag_1_593,0.00042376878982743825
cat__diag_3_581,0.00042202889353635235
cat__diag_2_535,0.00042190846082040633
cat__diag_2_250.92,0.00042008989282648723
cat__diag_1_348,0.00041798449619657947
cat__diag_3_250.03,0.00041751845509239874
cat__acarbose_No,0.00041546544756659214
cat__diag_3_V10,0.0004147597446780148
cat__diag_3_577,0.0004135430500352664
cat__diag_3_250.92,0.0004117446936082853
cat__diag_3_284,0.00041149921160134843
cat__diag_3_410,0.0004099805185122311
cat__diag_3_416,0.00040764252387273723
cat__acarbose_Steady,0.0004057395776502996
cat__diag_2_250.4,0.00040542976196920866
cat__diag_3_729,0.0004005311373294387
cat__diag_3_790,0.00039883589179704447
cat__diag_3_443,0.00039786514867823396
cat__diag_2_Unknown,0.00039583959930652513
cat__diag_3_300,0.00039578460968114324
cat__diag_3_250.7,0.0003909267346058004
cat__diag_2_304,0.00038949964419232293
cat__diag_2_278,0.00038796582398937813
cat__diag_1_648,0.0003870890519560206
cat__diag_1_600,0.000381877184639249
cat__diag_1_250.41,0.00038048921444763757
cat__diag_3_E878,0.00037853557417344164
cat__diag_1_532,0.00037790528639113416
cat__diag_3_515,0.00037763329073940466
cat__diag_3_433,0.00037694975811725724
cat__diag_1_202,0.00037436282205223205
cat__diag_3_730,0.00037192726636675226
cat__diag_2_244,0.000370306387618867
cat__diag_3_V43,0.00037028903494459365
cat__diag_2_196,0.00036778084003775784
cat__diag_3_303,0.00036732941064143205
cat__diag_2_396,0.0003662378307175553
cat__diag_2_V85,0.00036270663432866313
cat__diag_2_348,0.00035847339150789283
cat__diag_1_250.81,0.0003574145757264724
cat__diag_1_564,0.00035458202841514853
cat__diag_2_263,0.0003540038091872727
cat__diag_3_781,0.00035186213508300683
cat__diag_2_296,0.00035164750193447593
cat__diag_2_507,0.0003479951501512406
cat__diag_3_286,0.0003479660986660735
cat__diag_1_444,0.0003469728794738682
cat__diag_1_823,0.00034678739645786446
cat__diag_1_436,0.00034643355137197395
cat__glimepiride_Down,0.00034493873242344284
cat__diag_3_397,0.00034463716529346616
cat__diag_3_E849,0.0003437912140843764
cat__diag_2_710,0.0003430590686383109
cat__pioglitazone_Up,0.0003368471565181935
cat__diag_2_515,0.0003354494149110313
cat__diag_2_284,0.0003333573409067908
cat__diag_2_E878,0.0003266991663885937
cat__diag_2_593,0.00032529879980779987
cat__diag_1_681,0.00032459662245331206
cat__diag_1_808,0.0003240208655543127
cat__diag_3_38,0.0003232371125952726
cat__diag_2_724,0.00032311391491352253
cat__diag_2_E888,0.00032165512529052325
cat__diag_3_198,0.0003202816644188278
cat__diag_1_537,0.000319077075550136
cat__diag_1_438,0.0003163869771172637
cat__diag_1_557,0.0003124373192819772
cat__diag_2_995,0.00030836325593099865
