Feature,Importance
cat__diag_2_292,0.00022226769568128786
cat__diag_2_204,0.00022153754545443987
cat__diag_1_431,0.00022085042732869733
cat__diag_1_338,0.00022062942988080862
cat__diag_3_V54,0.00021767754592917122
cat__diag_1_532,0.00021746852346477826
cat__diag_1_250.81,0.00021727803343403717
cat__diag_2_157,0.00021704544550556985
cat__diag_1_346,0.00021583781411998215
cat__diag_2_284,0.00021552336390503793
cat__diag_2_596,0.00021542532882441295
cat__diag_2_567,0.00021483308780933011
cat__diag_2_348,0.00021462842391420728
cat__diag_3_558,0.00021451035191212008
cat__diag_2_581,0.00021422879217495298
cat__diag_3_781,0.00021387329618569547
cat__diag_1_284,0.0002135498852788827
cat__diag_1_432,0.0002131128619665409
cat__diag_2_722,0.00021235259622381895
cat__diag_2_458,0.00021109772756222375
cat__diag_3_E888,0.00020971232622389553
cat__diag_1_441,0.00020921159628955986
cat__diag_1_290,0.00020895514655583621
cat__diag_3_332,0.0002085380880856006
cat__diag_2_V58,0.00020689566251395552
cat__diag_2_995,0.00020666168166920407
cat__diag_3_710,0.00020653652732763826
cat__diag_2_507,0.00020481802879334269
cat__diag_3_255,0.00020360921678571188
cat__diag_2_719,0.00020271684351861967
cat__diag_2_515,0.00020201969759374588
cat__diag_1_420,0.00020200841595281787
cat__diag_1_552,0.0002010999722713647
cat__diag_1_239,0.00020100748974995485
cat__diag_1_300,0.0002007158749435141
cat__diag_2_340,0.00019890638819473335
cat__diag_3_492,0.00019823015374142666
cat__diag_2_724,0.00019723992598768173
cat__diag_1_250.83,0.00019624551137822853
cat__diag_3_459,0.00019377462879815134
cat__diag_1_287,0.00019161840962781475
cat__diag_1_345,0.00018964985659422376
cat__diag_1_852,0.00018795444009261193
cat__diag_2_311,0.0001874313521562226
cat__diag_1_481,0.0001871575875471249
cat__diag_2_443,0.00018625173987238739
cat__diag_1_298,0.00018581090566050483
cat__diag_2_466,0.00018535403035828892
cat__diag_1_398,0.0001852148642333642
cat__diag_1_711,0.00018475836227918718
cat__diag_1_536,0.00018453264617633835
cat__diag_3_410,0.00018426179609454222
cat__diag_1_191,0.00018394776390957143
cat__diag_1_79,0.00018333954560463455
cat__diag_3_714,0.00018252864851400993
cat__diag_2_782,0.00018006880345438226
cat__diag_3_V64,0.00017922881139672
cat__diag_3_648,0.00017904949204014075
cat__diag_2_293,0.0001788719210322923
cat__diag_2_456,0.0001780857757172414
cat__diag_1_716,0.00017758119033180027
cat__diag_3_199,0.00017756516215492992
cat__diag_3_185,0.0001768623110080462
cat__diag_1_756,0.0001743977519994052
cat__diag_2_590,0.00017351735404036567
cat__diag_1_447,0.0001733733827573149
cat__diag_2_250.52,0.00017331569906752048
cat__pioglitazone_Down,0.00017282835403051707
cat__diag_1_157,0.00017166314385440147
cat__diag_3_288,0.00017153672375192714
cat__diag_1_53,0.00017150463580874276
cat__diag_1_995,0.00017114925527707197
cat__diag_1_576,0.0001707883853085962
cat__diag_2_562,0.0001707104033879735
cat__diag_2_331,0.00017066802407474972
cat__diag_1_455,0.00016974071179993842
cat__chlorpropamide_No,0.00016935261398600597
cat__diag_1_174,0.0001691652596418655
cat__diag_2_286,0.00016890870769226018
cat__diag_1_437,0.0001685156550561923
cat__diag_1_967,0.0001683024777297411
cat__diag_1_643,0.0001682256817619291
cat__diag_1_781,0.00016751996645838308
cat__diag_2_593,0.00016690281961437132
cat__diag_1_274,0.00016573155619802561
cat__diag_3_V85,0.00016559119173732904
cat__diag_2_416,0.00016555508959271317
cat__diag_3_242,0.0001653128380199801
cat__diag_2_415,0.00016426414959145767
cat__diag_2_808,0.00016337634619357607
cat__diag_2_V10,0.00016224494031916845
cat__diag_1_V55,0.00016024434904877042
cat__diag_3_591,0.0001594903751324648
cat__diag_1_728,0.00015790718393196213
cat__diag_1_782,0.00015766123192167142
cat__diag_2_337,0.00015698248679353374
cat__diag_1_807,0.00015665402385350207
cat__diag_1_311,0.00015332555549327277
cat__diag_2_558,0.0001525841253707017
cat__diag_3_711,0.00015213024683563553
cat__diag_1_726,0.00015179209785795672
cat__diag_1_585,0.0001512533253011986
cat__diag_1_250.01,0.00015123824778977242
cat__diag_1_292,0.00015021838048238077
cat__diag_1_188,0.00014967745292685962
cat__diag_3_596,0.00014907436528107537
cat__diag_2_357,0.00014815119422760949
cat__diag_2_332,0.00014798289049139626
cat__diag_1_681,0.00014783933917927923
cat__diag_3_V46,0.0001477474279978458
cat__diag_2_E947,0.00014767834177148418
cat__diag_3_728,0.00014689484464251802
cat__diag_3_569,0.00014670430432086776
cat__diag_1_271,0.0001466798991008873
cat__diag_3_583,0.00014556558190890204
cat__diag_3_722,0.00014517931636512613
cat__diag_2_537,0.00014493101632215568
cat__diag_3_681,0.00014442087739167326
cat__diag_1_625,0.0001443613076260458
cat__diag_3_447,0.00014428961998039564
cat__diag_3_574,0.00014348995785992767
cat__diag_3_455,0.00014325484784461002
cat__diag_2_595,0.00014286929981748256
cat__diag_1_291,0.00014198005521857287
cat__diag_2_575,0.0001418492428194858
cat__diag_3_V09,0.00014176453778929368
cat__diag_3_203,0.00014143205371405898
cat__diag_2_729,0.00014091383677930142
cat__diag_1_250.92,0.00014087973199136355
cat__diag_2_300,0.00014031071718882104
cat__diag_3_783,0.00014030529737899927
cat__diag_3_238,0.000139641202416237
cat__diag_1_788,0.00013909085062998884
cat__diag_2_V62,0.00013764957318042914
cat__diag_1_238,0.00013706801748866339
cat__diag_3_807,0.00013673834967889195
cat__diag_2_447,0.0001353539709145033
cat__diag_2_807,0.00013419128213147522
cat__diag_3_291,0.00013370625690746244
cat__diag_2_625,0.0001335163586130997
cat__diag_1_293,0.00013321472922196758
cat__diag_2_250.5,0.00013306982511856943
cat__diag_2_680,0.00013229119992028512
cat__diag_3_250.81,0.00013224439211956387
cat__diag_2_412,0.00013190366034380386
cat__diag_3_575,0.00013139358469274663
cat__diag_1_729,0.00013109507956825467
cat__diag_1_459,0.00013097425829715651
cat__diag_2_731,0.00013071437089397906
cat__diag_1_822,0.00013069529047421614
cat__diag_1_785,0.0001302978309582322
cat__diag_1_719,0.0001301865471329751
cat__diag_1_596,0.00013015934962932787
cat__diag_3_211,0.00012993165989718175
cat__diag_1_496,0.0001274837901095534
cat__diag_1_225,0.0001271255907417098
cat__diag_2_250.43,0.0001256065365175327
cat__diag_3_340,0.00012544628473566452
cat__diag_1_358,0.00012518841402099282
cat__diag_3_920,0.00012456475889736018
cat__diag_1_425,0.00012271762882404445
cat__diag_1_154,0.00012224814898944934
cat__diag_3_250.43,0.00012171503872783166
cat__diag_1_182,0.00012152209097381829
cat__diag_3_298,0.00012136217385510012
cat__diag_1_550,0.0001206786853284858
